,sentiment,occurences,sentimentsSummary,sentimentEdges,score
000 mAh cell,"[-0.08333333333333334, 0.0]",2,[-0.0625 -0.0417 -0.0208],-0.0625,0.7995066957141336
1 issue,"[0.1, 0.1766666666666667, 0.0]",3,[0.05   0.1    0.1383],0.13833333333333336,0.8662454500999403
1/2 inch,"[0.0, 0.05555555555555555, 0.0, 0.05555555555555555]",4,[0.     0.0278 0.0556],0.05555555555555555,0.8160778295111797
10 am,"[-0.15555555555555559, 0.0]",2,[-0.1167 -0.0778 -0.0389],-0.1166666666666667,0.6812153226543536
10 bucks,"[0.0, 0.0, 0.0, 0.4083333333333333]",4,[0.     0.     0.1021],0.10208333333333333,0.7256725340573227
10 mins,"[0.0, 0.0, 0.05416666666666667, -0.16666666666666666, 0.075]",5,[0.     0.     0.0542],0.05416666666666667,0.9543884783488673
128 GB,"[0.13636363636363635, 0.0, 0.13636363636363635, 0.5]",4,[0.1023 0.1364 0.2273],0.22727272727272727,1.0821145751755532
15 min,"[0.2, 0.4000000000000001, 0.0, 0.0]",4,[0.   0.1  0.25],0.25000000000000006,1.0521470054123618
2 bars,"[0.0, 0.175, 0.0, -0.16666666666666666, -0.1875, -0.1875, 0.0]",7,[-0.1771  0.      0.    ],-0.17708333333333331,1.1228672635438124
2 batteries,"[0.05500000000000001, 0.0, -0.5, 0.0, 0.012244897959183694, 0.0, 0.04166666666666666]",7,[0.    0.    0.027],0.026955782312925176,1.6537270003317197
2 extra batteries,"[0.4, -0.125, 0.16666666666666666, 0.0]",4,[-0.0312  0.0833  0.225 ],0.225,1.7952010967033993
2 pm,"[0.0, -0.225, 0.2285714285714286, 0.3767482517482518]",4,[-0.0562  0.1143  0.2656],0.2656156343656344,1.0525757459481149
2.4 GHz wi-fi band,"[0.0, 0.3]",2,[0.075 0.15  0.225],0.22499999999999998,0.6597426803238706
20 bucks,"[0.0, 0.625, 0.0, 0.0]",4,[0.     0.     0.1562],0.15625,0.7256725340573227
200 GB SD card,"[0.0, 0.0, 0.0, 0.0, 0.4, 1.0]",6,[0.  0.  0.3],0.30000000000000004,2.5690831820021303
200 gb,"[0.0, 0.0, 0.2, 0.0, 0.0, 0.13636363636363635, 0.0, 0.0, 0.0, 0.55, 0.0]",11,[0.     0.     0.0682],0.06818181818181818,1.871750688175288
200 gb card,"[0.35, 0.0, 0.0, 0.0, 0.4166666666666667, 0.0, 0.0, 0.2, 0.0, 0.06666666666666667]",10,[0.     0.     0.1667],0.16666666666666669,2.5046523800422107
200 gig,"[0.5, 0.3, 0.0, 0.275, 0.06666666666666667]",5,[0.0667 0.275  0.3   ],0.3,1.0986410237601392
2600 bands,"[0.0, 0.0, -0.2]",3,[-0.1  0.   0. ],-0.1,0.6615408178514447
2nd battery,"[0.0, 0.13333333333333333, 0.0]",3,[0.     0.     0.0667],0.06666666666666667,1.0501666339174147
2nd display,"[-0.015909090909090914, 0.03749999999999999, 0.2]",3,[0.0108 0.0375 0.1188],0.11875,0.6158474389937951
3 GB,"[0.0, 0.0, 0.2, 0.0, 0.135]",5,[0.    0.    0.135],0.135,1.2562961169936098
