,comments,created_time,id,likes,link,message,shares,type
0,23,2016-03-30T10:00:00+0000,250677251634542_1041573345878258,285,https://www.facebook.com/xiaomiglobal/photos/a.260176487351285.55855.250677251634542/1041571039211822/?type=3,"Rice and shine! To mark the launch of Xiaomi's Mi Ecosystem, we also launched our latest product under Mi Ecosystem, the Mi Induction Heating Pressure Rice Cooker, an incredibly advanced rice cooker that uses technology and innovative design to help you cook rice perfectly all the time. Features: 

-WiFi-enabled smart cooker that can be controlled from your smartphone via the Mi Home app. Scan the packaging label and our rice cooker will intelligently choose which heating method to use based on the rice type and brand. Currently there are 200 brands of rice recognized by the app with more to come. The app also has 2,450 (2,450!!) different heating methods. 
- Employs a magnetic relief valve to precisely control pressure inside the rice cooker to create optimal boiling point of water, which results in more flavorful rice
- Electromagnetic heating technology delivers higher thermal efficiency for even cooking
- Gray cast iron lining for even heating and strong thermal performance
- PFA powder coating solves the issue of rice sticking to the bottom of the pot

Know someone who needs this at home? Don't forget to hit that share button and tell them about Mi :)",22,photo
1,19,2016-03-29T17:06:21+0000,250677251634542_1041053482596911,223,https://www.facebook.com/xiaomiglobal/photos/a.260176487351285.55855.250677251634542/1041052885930304/?type=3,"Xiaomi just announced our sub-brand called Mi Ecosystem—a collective brand that houses our products manufactured by Xiaomi's ecosystem partners. 

Some of these products are already very near and dear to our Mi fans, like power banks, Mi Band, Mi Air Purifier, and more. Here are fast facts about Mi Ecosystem: 

- 55 companies comprise Mi Ecosystem, 29 of which were incubated from the ground up by Xiaomi
- 20 Mi Ecosystem companies have launched products and won 28 international design awards to date
- Some Mi Ecosystem data: Zhimi ships over 1M air purifiers annually; Zimi has sold 47M power banks to date; Huami has sold over 18.5M Mi Bands 
- 7 Mi Ecosystem companies have annual sales of over RMB 100M, while two have reached annual sales of over RMB 1 Billion
- 4 of Mi Ecosystem companies are already unicorns

Which Mi Ecosystem products are your favorites? Let us know in the comments and make sure to share this post! :)",28,photo
2,36,2016-03-28T04:00:00+0000,250677251634542_1038644846171108,264,https://www.cnet.com/uk/products/xiaomi-mi-5/,"CNET's Aloysius Low on #Mi5: ""This is a flagship phone with flagship performance.""

""Xiaomi's impressive Mi 5 has the features to stand up against the very best...The Xiaomi Mi 5 has a sleek, lightweight design with a beautiful finish that's as good as any high-end phone. Great camera and dual-SIM features will let you use this as a travel phone too.

When I pulled out the pretty, lightweight Mi 5 in public, curious strangers who had never seen a Xiaomi phone before asked what it was... It works, and it works marvellously.. Photos are never more important than when you're capturing memories of the trip of a lifetime. The Mi 5's 16-megapixel camera didn't let me down.

The Mi 5 runs smooth as silk. Need to take a picture? Tap on the icon and boom, it's ready to take a shot. Switching between apps had nary a pause -- the phone has 3GB of RAM, enough to keep apps in memory without having to reload. If you're gamer with a penchant for great graphics, you're in good hands with the Mi 5."" 

Full review: http://www.cnet.com/uk/products/xiaomi-mi-5/",17,link
3,17,2016-03-27T04:54:50+0000,250677251634542_1038684262833833,753,http://gph.is/1ZFt8Kv,"Happy Easter, everyone! Enjoy the day 😊 🐰 🐣
http://gph.is/1ZFt8Kv",32,link
4,106,2016-03-23T08:12:23+0000,250677251634542_1035226429846283,1042,https://www.facebook.com/xiaomiglobal/photos/a.1035226313179628.1073741849.250677251634542/1035226989846227/?type=3,"Mi TV is getting some curves! Today, we just launched the unbelievably thin Mi TV 3S 65” Curve, which is just 5.9mm thick and our first curved TV —for your reference, our already incredibly thin Mi Note is 6.95mm. We also have a smaller 43"" Mi TV 3S to add to the line-up. 

Mi TV 3S 65” Curve
- 65” Samsung curved display
- Ultra-thin 5.9mm metal body
- Mstar 6A928 flagship TV processor
- Dolby and DTS audio dual decoding
- Mi TV Bar with independent 6-piece sound system 
- RMB 8,999 (TV bar included)",221,photo
5,41,2016-03-14T04:00:00+0000,250677251634542_1028323050536621,254,https://www.facebook.com/xiaomiglobal/photos/a.260176487351285.55855.250677251634542/1028322807203312/?type=3,Figure Mi out: How fast were you able to put together this virtual jigsaw puzzle? :),6,photo
6,44,2016-03-08T10:00:00+0000,250677251634542_1025365740832352,450,https://www.facebook.com/xiaomiglobal/photos/a.260176487351285.55855.250677251634542/1025364207499172/?type=3,"A different way to capture stuff using #Mi5 :) Have you tried taking quirky photos like these using your Mi phone? Post the results in the comments section and share this with friends!

#Mi5 specs:

- Snapdragon 820, up to 4GB RAM + 128GB UFS 2.0
- 600Mbps 4G+ download speeds, VoLTE
- 3D ceramic/glass body, weighs 129g
- 5.15” 16 LED light display, 3D ceramic/glass body
- Front fingerprint sensor
- 16MP 4-axis OIS, 2µm-pixel 4MP front camera
- 3000mAh battery, Quick Charge 3.0
- Full-feature NFC
- MIUI based on Android M",23,photo
7,31,2016-03-07T10:00:00+0000,250677251634542_1024773807558212,377,https://www.facebook.com/xiaomiglobal/videos/1024773807558212/,"See the beautiful craftsmanship of #Mi5 up close, truly elegance and beauty beyond imagination. Share this video with friends eager to get their hands on Mi!

Specs: 

- Snapdragon 820, up to 4GB RAM + 128GB UFS 2.0
- 600Mbps 4G+ download speeds, VoLTE
- 3D ceramic/glass body, weighs 129g
- 5.15” 16 LED light display, 3D ceramic/glass body
- Front fingerprint sensor
- 16MP 4-axis OIS, 2µm-pixel 4MP front camera
- 3000mAh battery, Quick Charge 3.0
- Full-feature NFC
- MIUI based on Android M",63,video
8,46,2016-03-06T17:38:00+0000,250677251634542_1024493750919551,515,https://www.facebook.com/xiaomiglobal/photos/a.260176487351285.55855.250677251634542/1024492194253040/?type=3,"#Mi5 scenes from the weekend. Mi fans eager to get their hands on #Mi5 spent their weekend in line so they can buy it from the Mi Home at Wucaicheng shopping center. Tell Mi, how long have you spent in line to get your hands on a coveted gadget? :) 

Specs:

- Snapdragon 820, up to 4GB RAM + 128GB UFS 2.0
- 600Mbps 4G+ download speeds, VoLTE
- 3D ceramic/glass body, weighs 129g
- 5.15” 16 LED light display, 3D ceramic/glass body
- Front fingerprint sensor
- 16MP 4-axis OIS, 2µm-pixel 4MP front camera
- 3000mAh battery, Quick Charge 3.0
- Full-feature NFC
- MIUI based on Android M",83,photo
9,33,2016-03-05T10:00:00+0000,250677251634542_1023692887666304,473,https://www.facebook.com/xiaomiglobal/photos/a.260176487351285.55855.250677251634542/1023692887666304/?type=3,"Xiaomi CEO Lei Jun is on the cover of Wired UK's April issue: 

“Think of Xiaomi as a company that is bringing innovation to everyone. We put an emphasis on high-quality products that help to create a connected lifestyle for everyone as we move into a new era of technological innovation. This doesn’t only mean smartphones, tablets, TVs, routers—we invest in startups that form what we call an ecosystem. They make products that are sold on Mi.com, ranging from power banks to wearables to air and water purifiers, so we have hundreds of products that come together to create a lifestyle. 

We treat our customers as our friends, and take into consideration all their feedback…We believe our users, we listen and make friends with them…we are very open and we place emphasis on engaging our users, our Mi fans, incorporating their feedback and even having parties with them. We believe in bringing innovation to everyone, which is why we are conscious about pricing products close to cost.” - Lei Jun

Read the full story here, where he talks about Xiaomi's innovations, goals, and how our strong community extremely passionate Mi fans (that's you guys! :)) sets us apart from other companies: 

http://www.wired.co.uk/magazine/archive/2016/04/features/xiaomi-lei-jun-internet-thinking",58,photo
